Order ID,Order ID,Segment_Label,Segment_Name,Cluster_Quality_Score,Recency,Frequency,Monetary,Loyalty_Score,DBSCAN_Segment,PCA1,PCA2,Item Price
4672,4672,1,High_Value,0.7232832817357273,0,2,11735.5,0.3083796498428634,0,-0.9526928858670334,-1.493049888748107,4950.0
4672,4672,1,High_Value,0.7203888754426672,0,2,11735.5,0.3083796498428634,0,-0.9594175454113498,-1.4928736959906779,3392.75
4671,4671,1,High_Value,0.7259252704256869,0,1,3392.75,0.30001338455743715,1,-1.0019291660580192,-1.5850348872760922,3392.75
4670,4670,1,High_Value,0.7038474447671926,0,3,10975.0,0.31670998119848354,2,-0.9277391283624211,-1.3972003738531424,3370.0
4670,4670,1,High_Value,0.706449495852194,0,3,10975.0,0.31670998119848354,2,-0.9175252603294987,-1.3989254316201172,4845.0
4670,4670,1,High_Value,0.7023160092778132,0,3,10975.0,0.31670998119848354,2,-0.9319631687014602,-1.396486960132563,2760.0
4669,4669,1,High_Value,0.7203888754426672,0,2,11735.5,0.3083796498428634,0,-0.9594175454113498,-1.4928736959906779,3392.75
4669,4669,1,High_Value,0.7232832817357273,0,2,11735.5,0.3083796498428634,0,-0.9526928858670334,-1.493049888748107,4950.0
4668,4668,1,High_Value,0.6967960153199759,0,3,10250.0,0.31670711935253737,2,-0.9438262942069332,-1.394502200314919,1076.25
4668,4668,1,High_Value,0.7055973732480659,0,3,10250.0,0.31670711935253737,2,-0.9218231988343154,-1.3982183840807239,4253.75
4668,4668,1,High_Value,0.7065365918725006,0,3,10250.0,0.31670711935253737,2,-0.9172096465787666,-1.3989975839025863,4920.0
4667,4667,1,High_Value,0.7071000231049128,0,3,10788.130000000001,0.3167092435527567,2,-0.9127997606559698,-1.399728396529688,5535.0
4667,4667,1,High_Value,0.6965019255214541,0,3,10788.130000000001,0.3167092435527567,-1,-0.944207370233925,-1.394423849743894,999.38
4667,4667,1,High_Value,0.7055984581315421,0,3,10788.130000000001,0.3167092435527567,2,-0.9216719765320254,-1.398229935333799,4253.75
4666,4666,2,At_Risk,0.35654462438592494,0,1,20003200.0,0.37896009807802633,-1,14.697308682078097,-6.09464142639222,11200.0
4665,4665,5,Segment_5.0,0.6428516158359092,0,1,14550000.0,0.35743427971442804,-1,9.324715827316473,-3.645482953863123,485000.0
4664,4664,1,High_Value,0.7063933838184596,0,3,10700.0,0.31670889567071087,2,-0.9179141488345717,-1.3988668997145508,4800.0
4664,4664,1,High_Value,0.6963098396121088,0,3,10700.0,0.31670889567071087,-1,-0.9445740755645726,-1.3943642065600743,950.0
4664,4664,1,High_Value,0.706571519600642,0,3,10700.0,0.31670889567071087,2,-0.9168754503905456,-1.3990423293179721,4950.0
4663,4663,1,High_Value,0.7238183170972448,0,2,10237.0,0.3083737347033457,0,-0.9352206741476662,-1.4960397899323528,7534.0
4663,4663,1,High_Value,0.7183059302501127,0,2,10237.0,0.3083737347033457,0,-0.9686736887015973,-1.4903897871715017,2703.0
4662,4662,1,High_Value,0.7087100309953374,0,1,14000.0,0.30005525533731636,-1,-0.9254968151366584,-1.5976680820712925,14000.0
4661,4661,1,High_Value,0.7239563766204941,0,1,10450.0,0.30004124216061445,1,-0.9510769462517759,-1.5934400454432351,10450.0
4660,4660,1,High_Value,0.718488573623691,0,2,11910.0,0.3083803386595773,0,-0.9678088461294843,-1.4904923622755477,2760.0
4660,4660,1,High_Value,0.7214745061848556,0,2,11910.0,0.3083803386595773,0,-0.9235602924139761,-1.4979656633812892,9150.0
4659,4659,1,High_Value,0.7179983902613614,0,2,12055.0,0.3083809110287666,0,-0.9688414207607214,-1.4903141975225274,2605.0
4659,4659,1,High_Value,0.7208152073010992,0,2,12055.0,0.3083809110287666,0,-0.9214421484316677,-1.4983196350919799,9450.0
4658,4658,1,High_Value,0.7169536617534729,0,2,10659.0,0.3083754004950551,0,-0.9713803603743404,-1.4899216771096722,2295.0
4658,4658,1,High_Value,0.7228676097970166,0,2,10659.0,0.3083754004950551,0,-0.929354621329048,-1.4970195588640924,8364.0
4657,4657,1,High_Value,0.7243564453455442,0,1,11040.0,0.3000435711111086,1,-0.9923641480934996,-1.5892396301762837,2760.0
4656,4656,1,High_Value,0.7243564453455442,0,1,11040.0,0.3000435711111086,1,-0.9923641480934996,-1.5892396301762837,2760.0
4655,4655,1,High_Value,0.7274632914361693,0,1,183000.0,0.30072236149580095,-1,-0.8126519587780355,-1.6357865897238337,9150.0
4654,4654,1,High_Value,0.633182420034415,0,1,1281000.0,0.3050565778390913,-1,0.12077346920968476,-1.9130171542532912,9150.0
4653,4653,1,High_Value,0.7146973647795057,0,2,549000.0,0.3105004336102311,-1,-0.6216196158697638,-1.570796096676338,9150.0
4653,4653,1,High_Value,0.7146973647795057,0,2,549000.0,0.3105004336102311,-1,-0.6216196158697638,-1.570796096676338,9150.0
4652,4652,1,High_Value,0.7329338112130801,1,1,16963.75,0.29754594596281425,1,-0.97396113583743,-1.5521027289570315,3392.75
4651,4651,1,High_Value,0.7302986177091759,1,2,13082.75,0.3058639595387448,0,-0.9407735729860099,-1.4549156134975125,4845.0
4651,4651,1,High_Value,0.7271424846630182,1,2,13082.75,0.3058639595387448,0,-0.9551783728339022,-1.4514538536870467,3392.75
4650,4650,2,At_Risk,0.34729593712811285,1,1,13126400.0,0.34929379008492084,-1,9.32439296932035,-4.506832572766307,11200.0
4649,4649,1,High_Value,0.7302986177091759,1,2,13082.75,0.3058639595387448,0,-0.9407735729860099,-1.4549156134975125,4845.0
